episode_rewards,episode_lengths,success_rates,objective_values
-44795.524309567,131,1.0,0.0
-41037.52157922617,118,0.9942528735632183,0.0
-34922.634661585056,113,1.0,0.0
-47792.07256000137,126,1.0,0.0
-46957.71880062684,122,1.0,0.0
-32032.09405564197,120,1.0,0.0
-53718.89666347709,139,0.9915254237288136,0.0
-60868.03558437923,132,0.9861111111111112,0.0
-48088.84068869443,115,1.0,0.0
-52778.079029280685,136,0.9911111111111112,0.0
-46788.2076097755,115,1.0,0.0
-46776.49116937913,133,1.0,0.0
-44767.58459882026,135,1.0,0.0
-27896.370235828545,108,1.0,0.0
-62905.39815174863,130,0.9901960784313726,0.0
-45848.392402045014,125,1.0,0.0
-39956.8901083912,111,1.0,0.0
-53743.597692716154,138,0.9955357142857143,0.0
-43922.11933561037,130,0.9948717948717949,0.0
-39919.23332130536,127,0.9948453608247423,0.0
-32879.846078039765,120,1.0,0.0
-56926.67353992603,118,0.9948186528497409,0.0
-40881.87021887483,113,1.0,0.0
-50960.54416781398,117,1.0,0.0
-39013.121438838105,106,1.0,0.0
-39118.407114323425,107,1.0,0.0
-39794.11433478127,132,0.9953703703703703,0.0
-23833.542057509236,131,0.9951923076923077,0.0
-34939.205842309304,124,0.9947368421052631,0.0
-31783.055898442453,140,0.9954128440366973,0.0
-32927.62777785989,115,1.0,0.0
-29938.908216167092,107,1.0,0.0
-33990.00541055301,104,1.0,0.0
-55939.00915738925,120,0.9947643979057592,0.0
-39978.47473985946,113,1.0,0.0
-84829.11847198666,144,0.9865470852017937,0.0
-40881.598008876084,117,1.0,0.0
-33934.44662691907,122,1.0,0.0
-38817.72441275062,114,1.0,0.0
-54804.13658691018,143,0.990909090909091,0.0
-45840.47429850923,134,0.9907407407407407,0.0
-49111.42356840737,117,0.9828571428571429,0.0
-44718.36605632896,133,1.0,0.0
-35802.2727853824,124,1.0,0.0
-34930.902829319886,133,0.9853658536585366,0.0
-38642.84427497799,143,0.9919354838709677,0.0
-54631.473127405865,146,0.9920318725099602,0.0
-45068.23119333258,111,1.0,0.0
-52723.860843164184,155,0.9914893617021276,0.0
-60951.8525074318,143,0.9807692307692307,0.0
-57871.761365090526,136,0.9715447154471545,0.0
-53004.68276035341,114,1.0,0.0
-65912.1042475468,139,0.9900990099009901,0.0
-37037.06557816329,113,1.0,0.0
-63939.84953875796,138,0.9852216748768473,0.0
-45986.8557450125,117,1.0,0.0
-63087.24051008734,128,0.9883040935672515,0.0
-54923.46209007275,117,1.0,0.0
-36997.93347098517,109,1.0,0.0
-44727.63165389813,114,1.0,0.0
-35858.4168587165,128,0.990521327014218,0.0
-44982.610709111665,109,1.0,0.0
-52842.6409956456,125,1.0,0.0
-41932.36087332196,105,1.0,0.0
-48815.19653637018,120,0.9953051643192489,0.0
-49679.26436602611,145,0.984375,0.0
-31840.278096730148,122,0.9952153110047847,0.0
-31860.692373923765,112,1.0,0.0
-17828.416687200068,107,1.0,0.0
-55952.466861469766,135,0.9896907216494846,0.0
-49073.89366685909,102,1.0,0.0
-49958.877847410666,125,1.0,0.0
-53975.0645236542,119,0.9895287958115183,0.0
-33940.260311932936,124,1.0,0.0
-45805.15184150138,126,0.9953051643192489,0.0
-39089.69046086354,107,1.0,0.0
-46998.130121510716,104,1.0,0.0
-49886.74218712279,117,1.0,0.0
-55904.79531607905,127,0.9901960784313726,0.0
-33944.05398216412,109,1.0,0.0
-58912.68503409017,123,1.0,0.0
-44893.10946018333,121,0.985781990521327,0.0
-54080.02066422165,109,1.0,0.0
-47902.995387917326,127,0.9949494949494949,0.0
-39972.65363949571,115,1.0,0.0
-57899.493087910756,136,0.9949494949494949,0.0
-52805.94533454778,121,1.0,0.0
-47679.06411329302,143,0.9917355371900827,0.0
-51991.67895034196,113,1.0,0.0
-75058.40329203408,120,0.9887005649717514,0.0
-66899.4875416389,118,1.0,0.0
-42971.17553587106,113,1.0,0.0
-43075.0561938859,110,1.0,0.0
-37941.72629212561,112,1.0,0.0
-28012.790178319014,108,1.0,0.0
-26956.415789927618,111,1.0,0.0
-49702.92268111438,141,0.9877551020408163,0.0
-45861.290605039234,113,0.9950980392156863,0.0
-43083.97030098129,107,1.0,0.0
-51832.1822903062,146,0.9752066115702479,0.0
-44004.41535079819,107,1.0,0.0
-38908.96642204165,123,0.9948717948717949,0.0
-39833.08384298572,122,1.0,0.0
-45699.3489151558,148,0.9841897233201581,0.0
-60002.97540667156,112,1.0,0.0
-46098.0705556107,115,1.0,0.0
-55061.41151291261,122,0.9838709677419355,0.0
-43139.20528317013,123,0.9935897435897436,0.0
-52859.17714844486,117,0.9951456310679612,0.0
-54109.428518937595,112,1.0,0.0
-30819.024180746906,115,1.0,0.0
-49983.26724175876,131,0.9895833333333334,0.0
-49920.91909829343,120,1.0,0.0
-39944.068436223635,132,0.9947368421052631,0.0
-54883.92119978913,119,1.0,0.0
-61809.78602482338,143,0.9789915966386554,0.0
-51817.43405928481,125,0.9952830188679245,0.0
-39884.10499878577,112,1.0,0.0
-51752.162325180936,124,1.0,0.0
-50032.90965244198,126,0.9942857142857143,0.0
-64877.5360865387,152,0.9743589743589743,0.0
-66901.44482280346,138,0.9902439024390244,0.0
-67039.47095233842,120,0.9942196531791907,0.0
-53891.76556527381,121,0.9902439024390244,0.0
-57970.32015711751,123,0.9945652173913043,0.0
-41911.99036627125,130,0.9948453608247423,0.0
-55838.50103274842,128,0.9952153110047847,0.0
-78224.71429903554,131,0.9662921348314607,0.0
-38865.63486798953,122,0.9950738916256158,0.0
-53909.4163680866,107,1.0,0.0
-61858.56267746993,120,0.9951219512195122,0.0
-52102.961679060114,106,1.0,0.0
-93843.93771842167,138,0.9864864864864865,0.0
-66724.66478721984,133,0.9956331877729258,0.0
-51973.947857298685,117,1.0,0.0
-62008.0285836647,112,1.0,0.0
-63076.19179416551,111,1.0,0.0
-67250.7293554592,108,1.0,0.0
-83901.27020793894,131,0.9857142857142858,0.0
-36897.30525021977,120,1.0,0.0
-39937.28611848201,110,1.0,0.0
-73891.8638010021,128,0.9949748743718593,0.0
-80062.57860774967,128,1.0,0.0
-63940.269183736804,128,0.9947643979057592,0.0
-81115.44861334274,134,0.9879518072289156,0.0
-54995.20250854701,114,0.994475138121547,0.0
-54057.696236490265,111,1.0,0.0
-69052.04656724856,131,0.9941860465116279,0.0
-64030.21851249125,110,1.0,0.0
-51911.80859231023,123,1.0,0.0
-72928.07334907846,124,0.9948186528497409,0.0
-60847.36482677956,130,1.0,0.0
-62031.804255508985,106,1.0,0.0
-59049.60033326542,125,0.9887640449438202,0.0
-46031.31029795164,110,1.0,0.0
-72837.96340995685,151,0.9863636363636363,0.0
-61011.54039747687,132,0.984375,0.0
-52153.84352178424,105,1.0,0.0
-73970.59830829424,125,0.9946236559139785,0.0
-72980.65741277461,119,0.9945054945054945,0.0
-55781.93207575557,124,0.9954128440366973,0.0
-51958.208996652276,129,0.9896907216494846,0.0
-67813.70911542285,137,0.9867256637168141,0.0
-61928.300678353444,135,0.9853658536585366,0.0
-57075.844307362386,113,0.9939759036144579,0.0
-62097.071865127196,113,1.0,0.0
-53811.27427086693,124,1.0,0.0
-57960.68842292385,118,1.0,0.0
-87889.22767230643,147,0.9673469387755103,0.0
-64974.063777026604,126,1.0,0.0
-57987.30046282312,124,0.9945652173913043,0.0
-49081.65384426093,113,1.0,0.0
-81141.14647096724,126,1.0,0.0
-64967.78023018975,115,1.0,0.0
-57797.447296839506,140,1.0,0.0
-83965.60708363299,140,0.9849246231155779,0.0
-56720.82658346895,144,0.987603305785124,0.0
-52936.384247668495,118,1.0,0.0
-58805.79604674081,143,0.9829787234042553,0.0
-37005.531538379764,106,1.0,0.0
-52888.60123933995,122,0.995,0.0
-70100.18372234443,108,1.0,0.0
-55801.64088917177,122,1.0,0.0
-63005.65661729035,123,0.994413407821229,0.0
-46053.80952429368,110,1.0,0.0
-57864.217148402895,121,1.0,0.0
-52914.240064154175,107,1.0,0.0
-75871.65717640292,137,0.9904306220095693,0.0
-40970.791485874215,120,1.0,0.0
-48964.57494200321,114,0.9946808510638298,0.0
-47858.7167436479,125,0.9951219512195122,0.0
-22996.380539379345,108,1.0,0.0
-24905.00021858385,113,1.0,0.0
-50038.18701777471,116,0.9942196531791907,0.0
-45039.91700977337,103,1.0,0.0
-87183.70215666642,117,0.9933333333333333,0.0
-48220.27640149105,107,1.0,0.0
-35190.57187842946,107,1.0,0.0
-39165.668092101296,104,1.0,0.0
-49882.6881901762,131,1.0,0.0
-47793.95211601378,125,1.0,0.0
-71077.25035919397,117,1.0,0.0
-40906.870348616336,108,1.0,0.0
-42820.01805906405,128,0.9952380952380953,0.0
-28791.63983973991,115,1.0,0.0
-75069.45498101226,115,0.9940828402366864,0.0
-52970.37079452345,140,0.9849246231155779,0.0
-47206.38100565162,107,1.0,0.0
-42801.68355214605,122,1.0,0.0
-57034.514373129605,121,0.9888888888888889,0.0
-71889.25051729182,132,1.0,0.0
-36696.432588323005,145,0.9806949806949807,0.0
-46036.93420828267,103,1.0,0.0
-51872.99133095413,120,1.0,0.0
-60273.47388106934,103,1.0,0.0
-35850.5725562759,122,1.0,0.0
-63784.3279584931,128,0.9954128440366973,0.0
-40835.70847877361,124,0.9951923076923077,0.0
-59127.301123446996,119,0.9936708860759493,0.0
-60752.06331065571,126,0.9955156950672646,0.0
-73871.76548306653,136,0.9950738916256158,0.0
-54798.60852460073,133,0.9953488372093023,0.0
-49205.777151409915,104,1.0,0.0
-58971.8353498141,117,1.0,0.0
-39092.04025627442,109,1.0,0.0
-51964.67815620354,110,1.0,0.0
-48082.91280418889,110,0.9939759036144579,0.0
-63883.20699059136,129,0.9949748743718593,0.0
-64048.00172376162,115,1.0,0.0
-61040.544448845794,119,1.0,0.0
-48936.50809451738,112,0.9947916666666666,0.0
-33947.40597005312,120,0.9947368421052631,0.0
-38944.576323414076,116,1.0,0.0
-29840.936222270837,127,1.0,0.0
-33055.27108662404,109,1.0,0.0
-56883.930180314936,123,1.0,0.0
-58832.70630493271,122,1.0,0.0
-48028.176937554985,114,1.0,0.0
-55927.35376750557,126,1.0,0.0
-44993.09760095577,105,0.994475138121547,0.0
-48991.666094945875,110,1.0,0.0
-46868.30467833321,119,1.0,0.0
-48009.92924011216,115,0.994413407821229,0.0
-55889.93028121592,135,0.985781990521327,0.0
-50959.520927093065,126,0.9946236559139785,0.0
-26902.548616151496,117,1.0,0.0
-36866.36771222114,118,1.0,0.0
-55802.32236590794,145,0.9829059829059829,0.0
-50718.0932831199,127,0.9956331877729258,0.0
-42859.25656530124,125,0.9951219512195122,0.0
-58029.123577143175,131,0.9794871794871794,0.0
-74851.91689749161,143,0.9823788546255506,0.0
-29020.957658885556,107,1.0,0.0
-33646.5459040275,132,0.995850622406639,0.0
-43943.48028633521,127,0.9897959183673469,0.0
-46598.730592099026,130,1.0,0.0
-53903.95928712809,117,1.0,0.0
-61739.0835427135,152,0.9874476987447699,0.0
-40793.96111459978,128,1.0,0.0
-32747.477002660136,122,1.0,0.0
-51994.48588660007,127,0.9893048128342246,0.0
-43836.176316183395,109,1.0,0.0
-47975.61920526388,128,0.9945945945945946,0.0
-38874.18560212133,128,1.0,0.0
-32159.83395763652,110,1.0,0.0
-57002.36126395034,115,1.0,0.0
-41911.78921134582,118,1.0,0.0
-44684.348751871636,138,0.9957446808510638,0.0
-51721.454596771844,144,0.9803921568627451,0.0
-36044.819196162454,113,0.9941520467836257,0.0
-56984.687635992865,116,0.9894179894179894,0.0
-27555.503334845438,148,1.0,0.0
-38918.92657286467,124,0.9947916666666666,0.0
-19827.21315971812,107,1.0,0.0
-43672.89406763904,129,0.9957627118644068,0.0
-43808.137520016266,124,1.0,0.0
-25523.420368168114,129,1.0,0.0
-55959.56066851074,135,0.9896907216494846,0.0
-19954.62055034015,107,1.0,0.0
-53854.592414971135,134,1.0,0.0
-36839.499838436175,141,0.9951690821256038,0.0
-48688.09276996707,124,1.0,0.0
-37533.15570190812,152,0.989010989010989,0.0
-41867.193567379734,130,0.9950980392156863,0.0
-37605.24514501075,164,0.978494623655914,0.0
-26931.062647369312,114,1.0,0.0
-16599.117199746892,140,1.0,0.0
-31710.347779841388,133,0.9915254237288136,0.0
-22037.709890368053,107,1.0,0.0
-35884.562237403945,119,1.0,0.0
-39580.497574977184,140,0.9960474308300395,0.0
-39791.00950017523,124,0.9953917050691244,0.0
-50906.54584968441,126,0.9948979591836735,0.0
-34713.07507211958,124,1.0,0.0
-60832.51379245005,137,0.9863636363636363,0.0
-26794.72740440283,127,1.0,0.0
-33420.88960703152,141,0.993006993006993,0.0
-40878.164540000114,125,1.0,0.0
-29369.354624562635,137,1.0,0.0
-31704.02929289985,128,1.0,0.0
-43577.76248997166,143,0.9853479853479854,0.0
-12608.456628030028,119,1.0,0.0
-29642.48242381701,127,0.9958677685950413,0.0
-30695.25539611199,125,1.0,0.0
-44945.32254251552,133,0.9897959183673469,0.0
-26809.939075422364,122,1.0,0.0
-13875.533557908575,110,1.0,0.0
-43716.57743244625,131,1.0,0.0
-23751.684434212846,124,1.0,0.0
-11694.914077199743,118,1.0,0.0
-33766.8925027524,114,0.9954545454545455,0.0
-13768.495372595715,125,0.995475113122172,0.0
-32614.184797400216,119,1.0,0.0
-27824.559094889602,104,1.0,0.0
-38994.72178711268,106,1.0,0.0
-30416.091050953128,148,0.9897260273972602,0.0
-29909.13144793997,111,1.0,0.0
-12861.1598652175,110,1.0,0.0
-24779.902003345975,115,1.0,0.0
-25683.449869543067,135,1.0,0.0
-14938.417802789649,111,1.0,0.0
-19623.597632163644,129,1.0,0.0
-22874.939295782795,122,0.995,0.0
-12603.928391959855,128,1.0,0.0
-10087.771612185485,104,1.0,0.0
-24798.197743433895,119,1.0,0.0
-21622.24998017361,135,1.0,0.0
-10662.411427331193,120,1.0,0.0
-29796.680564040453,130,1.0,0.0
-31800.958657459145,138,0.990909090909091,0.0
-26500.02549941317,153,0.9926739926739927,0.0
-20923.21407287926,108,1.0,0.0
-31806.082584408967,121,1.0,0.0
-5508.098291590592,136,1.0,0.0
-9630.90583011586,117,1.0,0.0
-12874.975620085212,111,1.0,0.0
-14456.100404794659,145,0.9928571428571429,0.0
-13735.069764795402,120,1.0,0.0
-26824.615168788783,123,0.9907407407407407,0.0
-17003.87308780615,103,1.0,0.0
-18583.178758517803,129,0.9960474308300395,0.0
-8589.53014801979,130,1.0,0.0
-14759.708821685444,113,1.0,0.0
-19667.105076269687,123,1.0,0.0
-11611.838820899118,123,1.0,0.0
-7833.664628554211,109,1.0,0.0
-16625.753016930386,120,1.0,0.0
-19757.087178844602,121,1.0,0.0
-16772.59746251529,123,1.0,0.0
-4881.25260498378,110,1.0,0.0
-19574.973091843247,132,1.0,0.0
-7588.915219232279,120,1.0,0.0
-15855.398814828986,113,1.0,0.0
-15589.735258277376,138,1.0,0.0
-8633.122463727115,113,1.0,0.0
-7981.470022370257,113,1.0,0.0
-8799.801052080455,123,1.0,0.0
-8550.10004844433,122,1.0,0.0
-5548.120991723822,123,1.0,0.0
-7614.007866867816,128,1.0,0.0
-13835.800168469836,106,1.0,0.0
-8425.542509325842,131,1.0,0.0
-13646.345651860236,126,1.0,0.0
-8528.371832161323,118,1.0,0.0
-12752.076644114217,119,1.0,0.0
-12697.660083617831,119,1.0,0.0
-9823.09446825181,113,1.0,0.0
-5472.305888321935,139,1.0,0.0
-3543.615692037437,120,1.0,0.0
-8882.182063724336,117,1.0,0.0
-10737.056666103492,111,1.0,0.0
-14772.835380892244,122,0.9954337899543378,0.0
-12548.512083414016,125,0.9961240310077519,0.0
-4647.83284981529,122,1.0,0.0
-5785.999421915496,119,1.0,0.0
-8611.716709263223,130,1.0,0.0
-10658.846696614211,120,1.0,0.0
-14499.206432730552,128,0.9962406015037594,0.0
-10293.061308944882,140,1.0,0.0
-13390.319084554025,140,0.9931506849315068,0.0
-12861.124854968222,112,1.0,0.0
-4799.373478185584,108,1.0,0.0
-8762.172475271798,118,1.0,0.0
-11774.447660795495,123,1.0,0.0
-2712.4099265945347,119,1.0,0.0
-6436.573225321122,157,0.9929577464788732,0.0
-7433.3302768539,141,0.9929824561403509,0.0
